,Winner,Loser,Winner_Str,Loser_Str,Winner_Td,Loser_Td,Winner_Sub_Attempt,Loser_Sub_Attempt,Weight_class,Method,METHOD,Time,Round
11,Eddie Wineland,Grigorii Popov,74,55,0,0,0,0,Bantamweight,KO/TKO  Punch,2,4:47,2
12,Katlyn Chookagian,Joanne Calderwood,82,112,0,3,0,0,Women's Flyweight,U-DEC,1,5:00,3
0,Anthony Smith,Alexander Gustafsson,49,72,0,1,1,0,Light Heavyweight,SUB  Rear Naked Choke,3,2:38,4
1,Aleksandar Rakic,Jimi Manuwa,2,2,0,0,0,0,Light Heavyweight,KO/TKO  Kick,2,0:47,1
2,Makwan Amirkhani,Chris Fishgold,9,16,1,0,1,0,Featherweight,SUB  Anaconda Choke,3,4:25,2
3,Christos Giagos,Damir Hadzovic,47,24,6,1,0,0,Lightweight,U-DEC,1,5:00,3
4,Daniel Teymur,Sung Bin Jo,40,21,1,1,0,1,Featherweight,U-DEC,1,5:00,3
5,Sergey Khandozhko,Rostem Akman,60,39,1,2,0,0,Welterweight,U-DEC,1,5:00,3
6,Lina Lansberg,Tonya Evinger,50,6,1,1,0,0,Women's Bantamweight,U-DEC,1,5:00,3
7,Leonardo Santos,Stevie Ray,12,2,0,0,0,0,Lightweight,KO/TKO  Punch,2,2:17,1
8,Frank Camacho,Nick Hein,100,37,0,1,0,0,Lightweight,KO/TKO  Punches,2,4:56,2
9,Bea Malecki,Duda Santana,19,42,0,3,2,0,Women's Bantamweight,SUB  Rear Naked Choke,3,1:59,2
10,Devin Clark,Darko Stosic,40,26,2,1,0,0,Light Heavyweight,U-DEC,1,5:00,3
11,Joel Alvarez,Danilo Belluardo,19,13,0,2,0,0,Lightweight,KO/TKO  Punches,2,2:22,2
0,Rafael Dos Anjos,Kevin Lee,60,35,4,6,1,0,Welterweight,SUB  Arm Triangle,3,3:47,4
1,Ian Heinisch,Antonio Carlos Junior,39,15,1,4,0,0,Middleweight,U-DEC,1,5:00,3
2,Felicia Spencer,Megan Anderson,22,3,1,0,1,0,Women's Featherweight,SUB  Rear Naked Choke,3,3:24,1
3,Vicente Luque,Derrick Krantz,18,6,0,1,0,0,Welterweight,KO/TKO  Punch,2,3:52,1
4,Charles Oliveira,Nik Lentz,38,18,0,2,1,0,Lightweight,KO/TKO  Punch,2,2:11,2
5,Davi Ramos,Austin Hubbard,63,44,3,0,0,0,Lightweight,U-DEC,1,5:00,3
6,Aspen Ladd,Sijara Eubanks,69,77,3,2,3,0,Women's Bantamweight,U-DEC,1,5:00,3
7,Desmond Green,Charles Jourdain,78,55,4,0,0,0,Lightweight,U-DEC,1,5:00,3
8,Michel Pereira,Danny Roberts,6,2,0,0,0,0,Welterweight,KO/TKO  Flying Knee,2,1:47,1
9,Grant Dawson,Michael Trizano,27,20,3,0,1,0,Featherweight,SUB  Rear Naked Choke,3,2:27,2
10,Ed Herman,Patrick Cummins,11,22,0,1,0,0,Light Heavyweight,KO/TKO  Knee,2,3:39,1
11,Zak Cummings,Trevin Giles,34,31,0,0,1,0,Middleweight,SUB  Guillotine Choke,3,4:01,3
12,Julio Arce,Julian Erosa,74,43,1,0,0,0,Featherweight,KO/TKO  Kick,2,1:49,3
0,Jessica Andrade,Rose Namajunas,47,55,2,0,0,1,Women's Strawweight,KO/TKO  Slam,2,2:58,2
1,Jared Cannonier,Anderson Silva,17,8,0,0,0,0,Middleweight,KO/TKO  Kick,2,4:47,1
2,Alexander Volkanovski,Jose Aldo,95,29,0,0,0,0,Featherweight,U-DEC,1,5:00,3
3,Laureano Staropoli,Thiago Alves,54,58,1,1,0,0,Welterweight,U-DEC,1,5:00,3
4,Irene Aldana,Bethe Correia,83,81,0,0,1,0,Women's Bantamweight,SUB  Armbar,3,3:24,3
5,Ryan Spann,Rogerio Nogueira,13,6,1,0,1,0,Light Heavyweight,KO/TKO  Punch,2,2:07,1
6,Thiago Moises,Kurt Holobaugh,66,39,4,2,1,0,Lightweight,U-DEC,1,5:00,3
7,Warlley Alves,Sergio Moraes,72,20,0,0,0,0,Welterweight,KO/TKO  Punch,2,4:13,3
8,Clay Guida,BJ Penn,80,64,1,0,0,0,Lightweight,U-DEC,1,5:00,3
9,Luana Carolina,Priscila Cachoeira,111,69,0,0,3,0,Women's Flyweight,U-DEC,1,5:00,3
10,Raoni Barcelos,Carlos Huachin,59,20,0,0,1,0,Bantamweight,KO/TKO  Elbows,2,4:49,2
11,Viviane Araujo,Talita Bernardo,61,46,3,0,0,0,Women's Bantamweight,KO/TKO  Punch,2,0:48,3
0,Donald Cerrone,Al Iaquinta,138,90,0,0,0,0,Lightweight,U-DEC,1,5:00,5
1,Derek Brunson,Elias Theodorou,56,65,4,0,0,0,Middleweight,U-DEC,1,5:00,3
2,Shane Burgos,Cub Swanson,134,129,0,0,0,0,Featherweight,S-DEC,1,5:00,3
3,Merab Dvalishvili,Brad Katona,55,32,5,0,0,0,Bantamweight,U-DEC,1,5:00,3
4,Walt Harris,Serghei Spivac,17,1,0,0,0,0,Heavyweight,KO/TKO  Knees,2,0:50,1
5,Andrew Sanchez,Marc-Andre Barriault,72,69,2,0,0,0,Middleweight,U-DEC,1,5:00,3
6,Macy Chiasson,Sarah Moras,43,9,0,1,0,1,Women's Bantamweight,KO/TKO  Punches,2,2:22,2
7,Vince Morales,Aiemann Zahabi,59,28,0,1,0,0,Bantamweight,U-DEC,1,5:00,3
8,Nordine Taleb,Kyle Prepolec,90,52,0,0,0,0,Welterweight,U-DEC,1,5:00,3
9,Matt Sayles,Kyle Nelson,75,26,0,2,1,4,Featherweight,SUB  Arm Triangle,3,3:16,3
10,Arjan Bhullar,Juan Adams,41,81,2,0,0,0,Heavyweight,U-DEC,1,5:00,3
11,Cole Smith,Mitch Gagnon,38,15,2,0,2,2,Bantamweight,U-DEC,1,5:00,3
0,Jack Hermansson,Jacare Souza,148,90,3,0,1,0,Middleweight,U-DEC,1,5:00,5
1,Greg Hardy,Dmitrii Smoliakov,14,1,0,0,0,0,Heavyweight,KO/TKO  Punches,2,2:15,1
2,Mike Perry,Alex Oliveira,65,48,0,0,0,0,Welterweight,U-DEC,1,5:00,3
3,Glover Teixeira,Ion Cutelaba,30,74,0,0,1,0,Light Heavyweight,SUB  Rear Naked Choke,3,3:37,2
4,Cory Sandhagen,John Lineker,120,106,2,1,0,1,Bantamweight,S-DEC,1,5:00,3
5,Roosevelt Roberts,Thomas Gifford,53,30,2,1,0,0,Lightweight,U-DEC,1,5:00,3
6,Takashi Sato,Ben Saunders,28,46,0,0,0,0,Welterweight,KO/TKO  Elbows,2,1:18,2
7,Augusto Sakai,Andrei Arlovski,42,75,0,0,0,0,Heavyweight,S-DEC,1,5:00,3
8,Carla Esparza,Virna Jandiroba,25,17,4,3,0,0,Women's Strawweight,U-DEC,1,5:00,3
9,Gilbert Burns,Mike Davis,49,13,3,0,1,0,Lightweight,SUB  Rear Naked Choke,3,4:15,2
10,Jim Miller,Jason Gonzalez,6,10,2,0,1,0,Lightweight,SUB  Rear Naked Choke,3,2:12,1
11,Angela Hill,Jodie Esquibel,117,57,0,0,0,0,Women's Strawweight,U-DEC,1,5:00,3
12,Dhiego Lima,Court McGee,65,65,0,0,0,0,Welterweight,S-DEC,1,5:00,3
0,Alistair Overeem,Aleksei Oleinik,29,38,0,0,0,0,Heavyweight,KO/TKO  Knee,2,4:45,1
1,Islam Makhachev,Arman Tsarukyan,14,13,4,1,0,0,Lightweight,U-DEC,1,5:00,3
2,Sergei Pavlovich,Marcelo Golm,17,5,0,0,0,0,Heavyweight,KO/TKO  Punches,2,1:06,1
3,Roxanne Modafferi,Antonina Shevchenko,33,64,5,0,0,0,Women's Flyweight,S-DEC,1,5:00,3
4,Krzysztof Jotko,Alen Amedovski,43,6,4,0,0,0,Middleweight,U-DEC,1,5:00,3
5,Movsar Evloev,SeungWoo Choi,50,26,5,0,0,0,Featherweight,U-DEC,1,5:00,3
6,Sultan Aliev,Keita Nakamura,25,29,2,0,0,0,Welterweight,U-DEC,1,5:00,3
7,Alexander Yakovlev,Alex Da Silva,14,8,1,1,1,0,Lightweight,SUB  Other - Choke,3,3:10,2
8,Shamil Abdurakhimov,Marcin Tybura,36,28,0,0,0,0,Heavyweight,KO/TKO  Punches,2,3:15,2
9,Michal Oleksiejczuk,Gadzhimurad Antigulov,8,6,0,0,0,0,Light Heavyweight,KO/TKO  Punch,2,0:44,1
10,Magomed Mustafaev,Rafael Fiziev,10,1,0,0,0,0,Lightweight,KO/TKO  Spinning Back Kick,2,1:26,1
0,Dustin Poirier,Max Holloway,178,181,1,0,0,1,Lightweight,U-DEC,1,5:00,5
1,Israel Adesanya,Kelvin Gastelum,109,91,0,1,2,0,Middleweight,U-DEC,1,5:00,5
2,Khalil Rountree Jr.,Eryk Anders,79,16,0,0,0,0,Light Heavyweight,U-DEC,1,5:00,3
3,Dwight Grant,Alan Jouban,38,24,0,1,0,0,Welterweight,S-DEC,1,5:00,3
4,Nikita Krylov,Ovince Saint Preux,27,4,1,3,2,0,Light Heavyweight,SUB  Rear Naked Choke,3,2:30,2
5,Matt Frevola,Jalin Turner,31,35,4,0,2,1,Lightweight,U-DEC,1,5:00,3
6,Alexandre Pantoja,Wilson Reis,23,1,0,1,0,0,Flyweight,KO/TKO  Punch,2,2:58,1
7,Max Griffin,Zelim Imadaev,47,64,6,0,3,0,Welterweight,M-DEC,1,5:00,3
8,Khalid Taha,Boston Salmon,5,0,0,0,0,0,Bantamweight,KO/TKO  Punch,2,0:25,1
9,Belal Muhammad,Curtis Millender,47,48,2,0,0,0,Welterweight,U-DEC,1,5:00,3
10,Montel Jackson,Andre Soukhamthath,64,30,3,1,0,0,Bantamweight,U-DEC,1,5:00,3
11,Poliana Botelho,Lauren Mueller,47,47,2,0,0,0,Women's Flyweight,U-DEC,1,5:00,3
12,Brandon Davis,Randy Costa,35,46,0,0,1,0,Bantamweight,SUB  Rear Naked Choke,3,1:12,2
0,Justin Gaethje,Edson Barboza,20,13,0,0,0,0,Lightweight,KO/TKO  Punch,2,2:30,1
1,Jack Hermansson,David Branch,3,1,1,0,1,0,Middleweight,SUB  Guillotine Choke,3,0:49,1
2,Josh Emmett,Michael Johnson,22,24,0,0,0,0,Featherweight,KO/TKO  Punch,2,4:14,3
3,Michelle Waterson,Karolina Kowalkiewicz,64,57,2,0,1,0,Women's Strawweight,U-DEC,1,5:00,3
4,Paul Craig,Kennedy Nzechukwu,25,40,1,0,2,0,Light Heavyweight,SUB  Triangle Choke,3,4:20,3
5,Sodiq Yusuff,Sheymon Moraes,73,54,0,0,0,0,Featherweight,U-DEC,1,5:00,3
6,Marina Rodriguez,Jessica Aguilar,118,50,0,0,0,1,Women's Strawweight,U-DEC,1,5:00,3
7,Desmond Green,Ross Pearson,25,12,1,0,0,0,Lightweight,KO/TKO  Punches,2,2:52,1
8,Kevin Aguilar,Enrique Barzola,58,52,0,0,0,0,Featherweight,U-DEC,1,5:00,3
9,Kevin Holland,Gerald Meerschaert,27,10,1,6,2,4,Middleweight,S-DEC,1,5:00,3
10,Casey Kenney,Ray Borg,32,17,2,7,0,0,Bantamweight,U-DEC,1,5:00,3
11,Maryna Moroz,Sabina Mazo,56,64,1,0,0,0,Women's Flyweight,U-DEC,1,5:00,3
12,Alex Perez,Mark De La Rosa,60,26,2,0,0,0,Bantamweight,U-DEC,1,5:00,3
0,Anthony Pettis,Stephen Thompson,32,47,0,0,0,0,Welterweight,KO/TKO  Punch,2,4:55,2
1,Curtis Blaydes,Justin Willis,22,2,7,0,0,0,Heavyweight,U-DEC,1,5:00,3
2,John Makdessi,Jesus Pinedo,73,37,0,0,0,0,Lightweight,U-DEC,1,5:00,3
3,Jussier Formiga,Deiveson Figueiredo,26,14,3,0,0,0,Flyweight,U-DEC,1,5:00,3
4,Luis Pena,Steven Peterson,52,34,1,4,0,1,Featherweight,U-DEC,1,5:00,3
5,Maycee Barber,JJ Aldrich,55,25,0,0,0,0,Women's Flyweight,KO/TKO  Punches,2,3:01,2
6,Bryce Mitchell,Bobby Moffett,17,9,0,5,2,2,Featherweight,U-DEC,1,5:00,3
7,Marlon Vera,Frankie Saenz,12,4,0,0,0,0,Bantamweight,KO/TKO  Punch,2,1:25,1
8,Jennifer Maia,Alexis Davis,60,72,0,1,0,0,Women's Flyweight,U-DEC,1,5:00,3
9,Randa Markos,Angela Hill,13,2,1,0,1,0,Women's Strawweight,SUB  Armbar,3,4:24,1
10,Chris Gutierrez,Ryan MacDonald,69,15,0,0,0,0,Bantamweight,U-DEC,1,5:00,3
11,Jordan Espinosa,Eric Shelton,47,25,1,0,0,0,Flyweight,U-DEC,1,5:00,3
0,Jorge Masvidal,Darren Till,35,21,1,1,0,0,Welterweight,KO/TKO  Punch,2,3:05,2
1,Leon Edwards,Gunnar Nelson,31,9,2,3,0,0,Welterweight,S-DEC,1,5:00,3
2,Dominick Reyes,Volkan Oezdemir,44,35,0,1,0,0,Light Heavyweight,S-DEC,1,5:00,3
3,Nathaniel Wood,Jose Quinonez,30,34,2,1,2,0,Bantamweight,SUB  Rear Naked Choke,3,2:46,2
4,Claudio Silva,Danny Roberts,19,26,3,0,4,0,Welterweight,SUB  Armbar,3,2:37,3
5,Jack Marshman,John Phillips,31,32,0,0,0,0,Middleweight,S-DEC,1,5:00,3
6,Arnold Allen,Jordan Rinaldi,37,30,0,0,0,0,Featherweight,U-DEC,1,5:00,3
7,Marc Diakiese,Joe Duffy,63,15,3,1,0,0,Lightweight,U-DEC,1,5:00,3
8,Saparbeg Safarov,Nicolae Negumereanu,70,11,3,0,0,0,Light Heavyweight,U-DEC,1,5:00,3
9,Dan Ige,Danny Henry,10,4,1,0,1,0,Featherweight,SUB  Rear Naked Choke,3,1:17,1
10,Molly McCann,Priscila Cachoeira,107,75,2,0,2,0,Women's Flyweight,U-DEC,1,5:00,3
11,Mike Grundy,Nad Narimani,33,22,1,0,0,0,Featherweight,KO/TKO  Punches,2,4:42,2
0,Junior Dos Santos,Derrick Lewis,29,7,0,0,0,0,Heavyweight,KO/TKO  Punches,2,1:58,2
1,Elizeu Zaleski dos Santos,Curtis Millender,6,0,1,0,1,0,Welterweight,SUB  Rear Naked Choke,3,2:35,1
2,Niko Price,Tim Means,32,31,0,1,0,0,Welterweight,KO/TKO  Punch,2,4:50,1
3,Blagoy Ivanov,Ben Rothwell,72,70,0,0,0,0,Heavyweight,U-DEC,1,5:00,3
4,Beneil Dariush,Drew Dober,37,31,2,0,1,0,Lightweight,SUB  Armbar,3,4:41,2
5,Omari Akhmedov,Tim Boetsch,52,41,0,0,0,0,Middleweight,U-DEC,1,5:00,3
6,Anthony Rocco Martin,Sergio Moraes,50,19,0,3,0,0,Welterweight,U-DEC,1,5:00,3
7,Yana Kunitskaya,Marion Reneau,98,58,1,1,0,0,Women's Bantamweight,U-DEC,1,5:00,3
8,Grant Dawson,Julian Erosa,57,49,6,0,1,1,Featherweight,U-DEC,1,5:00,3
9,Maurice Greene,Jeff Hughes,70,66,0,0,0,0,Heavyweight,S-DEC,1,5:00,3
10,Matt Schnell,Louis Smolka,14,13,1,0,2,0,Bantamweight,SUB  Triangle Choke,3,3:18,1
11,Alex Morono,Zak Ottow,25,10,0,1,1,0,Welterweight,KO/TKO  Elbows,2,3:34,1
12,Alex White,Dan Moret,49,42,2,1,3,0,Lightweight,U-DEC,1,5:00,3
0,Jon Jones,Anthony Smith,125,36,3,0,0,0,Light Heavyweight,U-DEC,1,5:00,5
1,Kamaru Usman,Tyron Woodley,141,34,2,0,0,0,Welterweight,U-DEC,1,5:00,5
2,Ben Askren,Robbie Lawler,0,26,1,1,1,0,Welterweight,SUB  Other - Choke,3,3:20,1
3,Weili Zhang,Tecia Torres,63,30,2,0,0,0,Women's Strawweight,U-DEC,1,5:00,3
4,Pedro Munhoz,Cody Garbrandt,25,21,0,0,0,0,Bantamweight,KO/TKO  Punch,2,4:52,1
5,Zabit Magomedsharipov,Jeremy Stephens,70,41,3,0,0,0,Featherweight,U-DEC,1,5:00,3
6,Johnny Walker,Misha Cirkunov,4,1,0,0,0,0,Light Heavyweight,KO/TKO  Flying Knee,2,0:36,1
7,Cody Stamann,Alejandro Perez,48,41,0,1,0,0,Bantamweight,U-DEC,1,5:00,3
8,Diego Sanchez,Mickey Gall,56,23,4,0,0,0,Welterweight,KO/TKO  Punches,2,4:13,2
9,Edmen Shahbazyan,Charles Byrd,13,1,0,0,0,0,Middleweight,KO/TKO  Elbows,2,0:38,1
10,Macy Chiasson,Gina Mazany,25,14,0,0,0,0,Women's Bantamweight,KO/TKO  Punch,2,1:49,1
11,Hannah Cifers,Polyana Viana,67,77,0,0,0,0,Women's Strawweight,S-DEC,1,5:00,3
0,Thiago Santos,Jan Blachowicz,52,20,1,0,0,0,Light Heavyweight,KO/TKO  Punch,2,0:39,3
1,Stefan Struve,Marcos Rogerio de Lima,0,25,1,0,1,0,Heavyweight,SUB  Arm Triangle,3,2:21,2
2,Michal Oleksiejczuk,Gian Villante,14,9,0,0,0,0,Light Heavyweight,KO/TKO  Punch,2,1:34,1
3,Liz Carmouche,Lucie Pudilova,14,33,3,0,2,2,Women's Flyweight,U-DEC,1,5:00,3
4,Petr Yan,John Dodson,80,30,2,2,0,0,Bantamweight,U-DEC,1,5:00,3
5,Magomed Ankalaev,Klidson Abreu,30,23,1,0,0,0,Light Heavyweight,U-DEC,1,5:00,3
6,Dwight Grant,Carlo Pedersoli,20,17,0,1,0,0,Welterweight,KO/TKO  Punch,2,4:59,1
7,Chris Fishgold,Daniel Teymur,14,17,5,1,2,0,Featherweight,SUB  Rear Naked Choke,3,1:10,2
8,Gillian Robertson,Veronica Macedo,5,23,2,1,1,0,Women's Flyweight,SUB  Rear Naked Choke,3,3:27,2
9,Damir Hadzovic,Polo Reyes,58,24,2,0,0,0,Lightweight,KO/TKO  Punches,2,2:03,2
10,Ismail Naurdiev,Michel Prazeres,63,15,0,3,1,0,Welterweight,U-DEC,1,5:00,3
11,Diego Ferreira,Rustam Khabilov,83,43,0,3,1,0,Lightweight,U-DEC,1,5:00,3
12,Damir Ismagulov,Joel Alvarez,64,38,0,0,0,0,Lightweight,U-DEC,1,5:00,3
0,Francis Ngannou,Cain Velasquez,6,1,0,0,0,0,Heavyweight,KO/TKO  Punches,2,0:26,1
1,Paul Felder,James Vick,55,61,0,0,0,0,Lightweight,U-DEC,1,5:00,3
2,Cynthia Calvillo,Cortney Casey,82,73,0,0,0,0,Women's Strawweight,U-DEC,1,5:00,3
3,Kron Gracie,Alex Caceres,2,4,1,0,1,0,Featherweight,SUB  Rear Naked Choke,3,2:06,1
4,Vicente Luque,Bryan Barberena,163,169,0,0,2,0,Welterweight,KO/TKO  Knee,2,4:54,3
5,Andre Fili,Myles Jury,98,76,0,0,0,0,Featherweight,U-DEC,1,5:00,3
6,Aljamain Sterling,Jimmie Rivera,101,24,0,0,0,0,Bantamweight,U-DEC,1,5:00,3
7,Manny Bermudez,Benito Lopez,7,7,1,0,1,0,Bantamweight,SUB  Guillotine Choke,3,3:09,1
8,Andrea Lee,Ashlee Evans-Smith,111,66,0,2,0,0,Women's Flyweight,U-DEC,1,5:00,3
9,Nik Lentz,Scott Holtzman,71,54,5,0,1,0,Lightweight,U-DEC,1,5:00,3
10,Luke Sanders,Renan Barao,39,40,0,0,0,0,Bantamweight,KO/TKO  Punch,2,1:01,2
11,Emily Whitmire,Alexandra Albu,3,2,1,0,1,0,Women's Strawweight,SUB  Rear Naked Choke,3,1:01,1
0,Israel Adesanya,Anderson Silva,65,31,0,0,0,0,Middleweight,U-DEC,1,5:00,3
1,Lando Vannata,Marcos Mariano,20,3,1,0,1,0,Lightweight,SUB  Kimura,3,4:55,1
2,Ricky Simon,Rani Yahya,54,47,4,0,0,0,Bantamweight,U-DEC,1,5:00,3
3,Montana De La Rosa,Nadia Kassem,21,5,2,0,3,0,Women's Flyweight,SUB  Armbar,3,2:37,2
4,Jimmy Crute,Sam Alvey,14,3,0,0,0,0,Light Heavyweight,KO/TKO  Punches,2,2:49,1
5,Devonte Smith,Dong Hyun Ma,19,1,0,0,0,0,Lightweight,KO/TKO  Punch,2,3:53,1
6,Shane Young,Austin Arnett,120,77,0,0,0,0,Featherweight,U-DEC,1,5:00,3
7,Kai Kara-France,Raulian Paiva,58,67,2,0,0,1,Flyweight,S-DEC,1,5:00,3
8,Kyung Ho Kang,Teruto Ishihara,26,17,1,0,1,0,Bantamweight,SUB  Rear Naked Choke,3,3:59,1
9,Jalin Turner,Callan Potter,9,3,0,0,0,0,Lightweight,KO/TKO  Kick,2,0:53,1
10,Jonathan Martinez,Wuliji Buren,47,17,1,3,0,1,Bantamweight,U-DEC,1,5:00,3
0,Marlon Moraes,Raphael Assuncao,10,2,0,0,1,0,Bantamweight,SUB  Guillotine Choke,3,3:17,1
1,Jose Aldo,Renato Moicano,26,24,0,0,0,0,Featherweight,KO/TKO  Punches,2,0:44,2
2,Demian Maia,Lyman Good,0,0,2,0,2,0,Welterweight,SUB  Rear Naked Choke,3,2:38,1
3,Charles Oliveira,David Teymur,28,26,1,0,1,0,Lightweight,SUB  Anaconda Choke,3,0:55,2
4,Johnny Walker,Justin Ledet,7,0,0,0,0,0,Light Heavyweight,KO/TKO  Spinning Back Fist,2,0:15,1
5,Livinha Souza,Sarah Frota,23,32,4,0,3,0,Women's Strawweight,S-DEC,1,5:00,3
6,Markus Perez,Anthony Hernandez,16,17,1,0,1,0,Middleweight,SUB  Anaconda Choke,3,1:07,2
7,Mara Romero Borella,Taila Santos,29,36,2,1,0,2,Women's Flyweight,S-DEC,1,5:00,3
8,Thiago Alves,Max Griffin,83,112,0,2,0,0,Welterweight,S-DEC,1,5:00,3
9,Jairzinho Rozenstruik,Junior Albini,19,18,0,2,0,0,Heavyweight,KO/TKO  Kick,2,0:54,2
10,Geraldo de Freitas,Felipe Colares,49,21,6,3,0,0,Featherweight,U-DEC,1,5:00,3
11,Said Nurmagomedov,Ricardo Ramos,17,2,0,0,0,0,Bantamweight,KO/TKO  Spinning Back Kick,2,2:28,1
12,Rogerio Bontorin,Magomed Bibulatov,40,58,1,4,2,0,Flyweight,S-DEC,1,5:00,3
0,Henry Cejudo,TJ Dillashaw,18,1,0,0,0,0,Flyweight,KO/TKO  Punches,2,0:32,1
1,Allen Crowder,Greg Hardy,12,29,1,0,1,0,Heavyweight,DQ,4,2:28,2
2,Gregor Gillespie,Yancy Medeiros,51,1,6,0,0,0,Lightweight,KO/TKO  Punches,2,4:59,2
3,Joseph Benavidez,Dustin Ortiz,21,49,7,3,0,0,Flyweight,U-DEC,1,5:00,3
4,Paige VanZant,Rachael Ostovich,17,10,0,4,2,0,Women's Flyweight,SUB  Armbar,3,1:50,2
5,Glover Teixeira,Karl Roberson,6,24,1,0,1,0,Light Heavyweight,SUB  Arm Triangle,3,3:21,1
6,Donald Cerrone,Alexander Hernandez,80,49,1,0,0,0,Lightweight,KO/TKO  Kick,2,3:43,2
7,Joanne Calderwood,Ariane Lipski,85,53,1,1,2,0,Women's Flyweight,U-DEC,1,5:00,3
8,Alonzo Menifield,Vinicius Moreira,33,11,0,0,0,0,Light Heavyweight,KO/TKO  Punch,2,3:56,1
9,Cory Sandhagen,Mario Bautista,17,9,1,1,2,0,Bantamweight,SUB  Armbar,3,3:31,1
10,Dennis Bermudez,Te Edwards,63,23,5,0,2,0,Lightweight,U-DEC,1,5:00,3
11,Geoff Neal,Belal Muhammad,71,63,0,0,0,0,Welterweight,U-DEC,1,5:00,3
12,Chance Rencountre,Kyle Stewart,6,2,2,0,1,0,Welterweight,SUB  Rear Naked Choke,3,2:25,1
