,Winner,Loser,Winner_Str,Loser_Str,Winner_Td,Loser_Td,Winner_Sub_Attempt,Loser_Sub_Attempt,Weight_class,Method,METHOD,Time,Round
0,Jared Cannonier,Jack Hermansson,28,20,0,1,0,0,Middleweight,KO/TKO  Punch,2,0:27,2
1,Mark Madsen,Danilo Belluardo,22,0,1,0,0,0,Lightweight,KO/TKO  Punches,2,1:12,1
2,Gilbert Burns,Gunnar Nelson,30,20,1,0,1,0,Welterweight,U-DEC,1,5:00,3
3,Ion Cutelaba,Khalil Rountree Jr.,15,5,4,0,0,0,Light Heavyweight,KO/TKO  Elbows,2,2:35,1
4,Ovince Saint Preux,Michal Oleksiejczuk,14,37,1,0,1,0,Light Heavyweight,SUB  Other - Choke,3,2:46,2
5,Nicolas Dalby,Alex Oliveira,31,18,1,3,0,0,Welterweight,U-DEC,1,5:00,3
6,John Phillips,Alen Amedovski,5,2,0,0,0,0,Middleweight,KO/TKO  Punch,2,0:17,1
7,Makhmud Muradov,Alessio Di Chirico,54,36,0,0,0,0,Middleweight,U-DEC,1,5:00,3
8,Ismail Naurdiev,Siyar Bahadurzada,69,12,3,0,0,0,Welterweight,U-DEC,1,5:00,3
9,Giga Chikadze,Brandon Davis,59,34,1,3,0,0,Featherweight,S-DEC,1,5:00,3
10,Lina Lansberg,Macy Chiasson,21,26,2,0,0,0,Women's Bantamweight,U-DEC,1,5:00,3
11,Marc Diakiese,Lando Vannata,40,25,4,0,0,0,Lightweight,U-DEC,1,5:00,3
12,Jack Shore,Nohelin Hernandez,46,6,4,0,1,0,Bantamweight,SUB  Rear Naked Choke,3,2:51,3
0,Yair Rodriguez,Jeremy Stephens,2,0,0,0,0,0,Featherweight,CNC,4,0:15,1
1,Carla Esparza,Alexa Grasso,44,45,4,0,0,1,Women's Strawweight,M-DEC,1,5:00,3
2,Brandon Moreno,Askar Askarov,34,30,1,4,0,0,Flyweight,S-DEC,1,5:00,3
